Title	Issue #	Month	Year	Publisher	Genre	Format	Condition	# of Copies	Value	Notes 1	Notes 2	GCD URL	CV URL
100-Page Super Spectacular	18			DC		Standard comic	0.5 Poor	1	$0		no cover	http://my.comics.org/issue/26385/	https://comicvine.gamespot.com/dc-100-page-super-spectacular-18-superman/4000-353903/
20,000 Leagues Under the Sea	614		1955	Dell		Standard comic	2.0 Good	1	$8		Four Color	http://my.comics.org/issue/12145/	
3-D Three Stooges	2			Eclipse	3-D	Standard comic	9.2 Near Mint �	1	$5			http://my.comics.org/issue/256306/	
Acme Novelty Library	1		1993	Fantagraphics		Standard comic	9.4 Near Mint	1	$4		2nd printing	http://my.comics.org/issue/69101/	
Acme Novelty Library	2		1994	Fantagraphics		Standard comic	9.4 Near Mint	1	$6			http://my.comics.org/issue/69102/	
Acme Novelty Library	3		1994	Fantagraphics		Standard comic	9.4 Near Mint	3	$18			http://my.comics.org/issue/69103/	
Acme Novelty Library	5		1995	Fantagraphics		Standard comic	9.4 Near Mint	1	$5			http://my.comics.org/issue/69105/	
Acme Novelty Library	6		1995	Fantagraphics		Standard comic	9.4 Near Mint	1	$5			http://my.comics.org/issue/69106/	
Acme Novelty Library	7		1996	Fantagraphics		Standard comic	9.4 Near Mint	1	$5			http://my.comics.org/issue/69107/	
Acme Novelty Library	10		1998	Fantagraphics		Standard comic	9.4 Near Mint	1	$5			http://my.comics.org/issue/69110/	
Acme Novelty Library	11		1998	Fantagraphics		Standard comic	9.4 Near Mint	1	$5			http://my.comics.org/issue/69111/	
Acme Novelty Library	12		1999	Fantagraphics		Standard comic	9.4 Near Mint	2	$10			http://my.comics.org/issue/69112/	
Acme Novelty Library	14		2000	Fantagraphics		Standard comic	9.4 Near Mint	1	$5			http://my.comics.org/issue/69114/	
Action Comics	312			DC		Standard comic	2.0 Good	1	$9			https://my.comics.org/issue/18356/	
Action Comics	326			DC		Standard comic	2.0 Good	1	$7		ink spots on cover	https://my.comics.org/issue/19271/	
Action Comics	328			DC		Standard comic	2.0 Good	1	$7			https://my.comics.org/issue/19421/	
Action Comics	330			DC		Standard comic	2.0 Good	1	$7			https://my.comics.org/issue/19576/	
Action Comics	337			DC		Standard comic	2.0 Good	1	$7			https://my.comics.org/issue/20016/	
Action Comics	345			DC		Standard comic	2.0 Good	1	$6			https://my.comics.org/issue/20648/	
Action Comics	396		1971	DC	Superhero	Standard comic	4.5 Very Good +	1	$7			http://my.comics.org/issue/23948/	
Action Comics	397		1971	DC	Superhero	Standard comic	4.5 Very Good +	1	$7			http://my.comics.org/issue/24014/	
Action Comics	434		1974	DC	Superhero	Standard comic	6.0 Fine	1	$6			http://my.comics.org/issue/27289/	
Action Comics	438		1974	DC	Superhero	Standard comic	6.0 Fine	1	$0			http://my.comics.org/issue/27289/	
Action Comics	501			DC		Standard comic	6.0 Fine	1	$1			https://my.comics.org/issue/33813/	
Action Comics	504			DC		Standard comic	6.0 Fine	1	$4			https://my.comics.org/issue/34090/	
Action Comics	505			DC		Standard comic	6.0 Fine	1	$4			https://my.comics.org/issue/34177/	
Action Comics	584			DC		Standard comic	9.2 Near Mint �	1	$6			https://my.comics.org/issue/42327/	
Adventure Comics	244		1958	DC		Standard comic	0.5 Poor	1	$0		no cover	http://my.comics.org/issue/14207/	
Adventure Comics	251			DC		Standard comic	0.5 Poor	1	$0		no cover	http://my.comics.org/issue/14539/	
Adventure Comics	268		1960	DC	Superhero	Standard comic	3.0 Good/Very Good	1	$40			http://my.comics.org/issue/15471/	
Adventure Comics	271			DC		Standard comic	0.5 Poor	1	$0		no cover	http://my.comics.org/issue/15604/	
Adventure Comics	336	Sept.	1965	DC		Standard comic	0.5 Poor	1	$2		partial cover	https://my.comics.org/issue/19407/	
Adventure Comics	402			DC		Standard comic	4.0 Very Good	1	$6			http://my.comics.org/issue/24056/	
Adventure Comics	425			DC		Standard comic	4.5 Very Good +	1	$7			http://my.comics.org/issue/25691/	
Adventure Comics	426		1973	DC		Standard comic	4.0 Very Good	1	$4			http://my.comics.org/issue/25958/	
Adventure Comics	427	December	1972	DC		Standard comic	4.0 Very Good	1	$4			http://my.comics.org/issue/26163/	
Adventure Comics	428			DC		Standard comic	8.0 Very Fine	1	$37			http://my.comics.org/issue/26465/	
Adventure Comics	430		1973	DC	Superhero	Standard comic	8.0 Very Fine	1	$21			http://my.comics.org/issue/26912/	
Adventure Comics	431		1974	DC	Superhero	Standard comic	8.5 Very Fine +	1	$41			http://my.comics.org/issue/27119/	
Adventure Comics	432		1974	DC	Superhero	Standard comic	8.0 Very Fine	1	$22			http://my.comics.org/issue/27269/	
Adventure Comics	433		1974	DC	Superhero	Standard comic	8.0 Very Fine	1	$22			http://my.comics.org/issue/27422/	
Adventure Comics	435			DC		Standard comic	4.5 Very Good +	1	$10			https://my.comics.org/issue/27774/	
Adventure Comics	438			DC		Standard comic	2.0 Good	1	$2			https://my.comics.org/issue/28388/	
Adventure Comics	439			DC		Standard comic	2.0 Good	1	$2			https://my.comics.org/issue/28594/	
Adventures into the Unknown	84			ACG		Standard comic	4.0 Very Good	1	$12			https://my.comics.org/issue/13502/	
Adventures into the Unknown	113			ACG		Standard comic	5.0 Very Good/Fine	1	$12			https://my.comics.org/issue/15433/	
Adventures into the Unknown	114		1960	ACG		Standard comic	5.0 Very Good/Fine	1	$5		Andrade bros classic	https://my.comics.org/issue/15481/	
Adventures into the Unknown	119			ACG		Standard comic	4.0 Very Good	1	$10			https://my.comics.org/issue/15791/?issue_detail=	
Adventures into the Unknown	120		1960	ACG		Standard comic	6.0 Fine	1	$15			https://www.comics.org/issue/15844/	
Adventures into the Unknown	123			ACG		Standard comic	2.0 Good	1	$5			https://my.comics.org/issue/16122/	
Adventures into the Unknown	124			ACG		Standard comic	4.0 Very Good	1	$10			https://my.comics.org/issue/16171/	
Adventures into the Unknown	127	Sept.	1961	ACG		Standard comic	4.0 Very Good	1	$10			https://my.comics.org/issue/16407/	
Adventures into the Unknown	129			ACG		Standard comic	6.0 Fine	1	$12			https://my.comics.org/issue/16597/	
Adventures into the Unknown	133			ACG		Standard comic	2.0 Good	1	$4			https://my.comics.org/issue/16950/?	
Adventures into the Unknown	134			ACG		Standard comic	2.0 Good	1	$4			https://my.comics.org/issue/17063/	
Adventures into the Unknown	136		1962	ACG		Standard comic	2.0 Good	1	$4			https://my.comics.org/issue/17169/?	
Adventures into the Unknown	138		1963	ACG		Standard comic	2.0 Good	1	$4			https://my.comics.org/issue/17477/	
Adventures into the Unknown	140		1963	ACG		Standard comic	6.0 Fine	1	$12			https://my.comics.org/issue/17583/	
Adventures into the Unknown	143			ACG		Standard comic	2.0 Good	1	$4			https://my.comics.org/issue/17850/	
Adventures into the Unknown	144		1963	ACG		Standard comic	4.0 Very Good	1	$8			https://my.comics.org/issue/17907/	
Adventures into the Unknown	146	Feb.	1964	ACG		Standard comic	2.0 Good	1	$4			https://my.comics.org/issue/18204/	
Adventures into the Unknown	147		1964	ACG		Standard comic	4.0 Very Good	1	$8			https://my.comics.org/issue/18253/	
Adventures into the Unknown	148		1964	ACG		Standard comic	4.0 Very Good	1	$8			https://my.comics.org/issue/18304/	
Adventures into the Unknown	149		1964	ACG		Standard comic	4.0 Very Good	1	$8			https://my.comics.org/issue/18406/	
Adventures into the Unknown	152		1964	ACG		Standard comic	4.0 Very Good	1	$8			https://my.comics.org/issue/18715/?	
Adventures into the Unknown	153			ACG		Standard comic	4.5 Very Good +	1	$10			http://my.comics.org/issue/18772/	
Adventures into the Unknown	154			ACG		Standard comic	2.0 Good	2	$10			http://my.comics.org/issue/18926/	
Adventures into the Unknown	155			ACG		Standard comic	6.0 Fine	1	$12			https://my.comics.org/issue/18992/	
